Product ID,Product Name,Subcategory,Brand,Price ,Rating
1001,Vintage Leather Satchel,Satchel,LuxeCraft,2299,4.6
1002,Velvet Party Clutch,Clutch,LuxeCraft,1399,4.4
1003,Everyday Cotton Tote,Tote,LuxeCraft,1099,4.3
1004,Glossy Metallic Clutch,Clutch,LuxeCraft,1799,4.2
1005,Classic Work Satchel,Satchel,LuxeCraft,2399,4.4
1006,Diamond Chain Shoulder Bag,Shoulder Bag,LuxeCraft,2499,4.5
1007,Designer Evening Clutch,Clutch,LuxeCraft,2099,4.1
1008,Leatherette Shoulder Tote,Tote,LuxeCraft,1999,4.3
1009,Office Zippered Satchel,Satchel,LuxeCraft,2599,4.7
1010,Compact Crossbody Sling,Sling Bag,LuxeCraft,1699,4.2
1011,Mini Box Sling,Sling Bag,StyleNest,1599,4.1
1012,Quilted Leather Backpack,Backpack,StyleNest,2899,4.7
1013,Printed Canvas Tote,Tote,StyleNest,1199,4
1014,Chain Strap Sling Bag,Sling Bag,StyleNest,1899,4.5
1015,Nylon Travel Backpack,Backpack,StyleNest,2699,4.8
1016,Stylish Everyday Tote,Tote,StyleNest,1499,4.2
1017,Gold Stud Clutch,Clutch,StyleNest,1899,4.3
1018,Sleek Urban Backpack,Backpack,StyleNest,2599,4.6
1019,Designer Chain Sling,Sling Bag,StyleNest,1799,4.4
1020,Day Out Canvas Tote,Tote,StyleNest,1399,4
